2Th_lab5
Number of tasks = 32
Only need 2 tasks - extra will be ignored...
task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
   1  1449520449.97550893  1449520449.97566295  0.00015402
   2  1449520449.97567606  1449520449.97591090  0.00023484
   3  1449520449.97598696  1449520449.97608900  0.00010204
   4  1449520449.97613001  1449520449.97622490  0.00009489
   5  1449520449.97622991  1449520449.97632408  0.00009418
   6  1449520449.97632694  1449520449.97641993  0.00009298
   7  1449520449.97642398  1449520449.97652793  0.00010395
   8  1449520449.97653103  1449520449.97662902  0.00009799
   9  1449520449.97663498  1449520449.97673297  0.00009799
  10  1449520449.97673702  1449520449.97681999  0.00008297
  11  1449520449.97682405  1449520449.97690606  0.00008202
  12  1449520449.97690892  1449520449.97693896  0.00003004
  13  1449520449.97694302  1449520449.97697306  0.00003004
  14  1449520449.97697711  1449520449.97705197  0.00007486
  15  1449520449.97706795  1449520449.97714901  0.00008106
  16  1449520449.97715211  1449520449.97723508  0.00008297
  17  1449520449.97723889  1449520449.97732210  0.00008321
  18  1449520449.97732592  1449520449.97740793  0.00008202
  19  1449520449.97741103  1449520449.97749400  0.00008297
  20  1449520449.97749710  1449520449.97759008  0.00009298
  21  1449520449.97759604  1449520449.97765303  0.00005698
  22  1449520449.97765708  1449520449.97768593  0.00002885
  23  1449520449.97768998  1449520449.97772193  0.00003195
  24  1449520449.97772598  1449520449.97775698  0.00003099
  25  1449520449.97776103  1449520449.97779298  0.00003195
  26  1449520449.97779703  1449520449.97788501  0.00008798
  27  1449520449.97788811  1449520449.97796893  0.00008082
  28  1449520449.97797298  1449520449.97803807  0.00006509
  29  1449520449.97805405  1449520449.97811890  0.00006485
  30  1449520449.97813392  1449520449.97819996  0.00006604
  31  1449520449.97820306  1449520449.97823811  0.00003505
  32  1449520449.97824192  1449520449.97831893  0.00007701
  33  1449520449.97832298  1449520449.97835708  0.00003409
  34  1449520449.97836208  1449520449.97843003  0.00006795
  35  1449520449.97843289  1449520449.97850204  0.00006914
  36  1449520449.97850609  1449520449.97853494  0.00002885
  37  1449520449.97857499  1449520449.97860789  0.00003290
  38  1449520449.97861195  1449520449.97864294  0.00003099
  39  1449520449.97864604  1449520449.97867489  0.00002885
  40  1449520449.97867894  1449520449.97870803  0.00002909
  41  1449520449.97871089  1449520449.97874093  0.00003004
  42  1449520449.97874498  1449520449.97877407  0.00002909
  43  1449520449.97877789  1449520449.97880697  0.00002909
  44  1449520449.97881103  1449520449.97884107  0.00003004
  45  1449520449.97884393  1449520449.97887802  0.00003409
  46  1449520449.97888207  1449520449.97890997  0.00002789
  47  1449520449.97891402  1449520449.97894406  0.00003004
  48  1449520449.97894692  1449520449.97897601  0.00002909
  49  1449520449.97898006  1449520449.97901011  0.00003004
  50  1449520449.97901297  1449520449.97904205  0.00002909
  51  1449520449.97904611  1449520449.97907591  0.00002980
  52  1449520449.97907901  1449520449.97910810  0.00002909
  53  1449520449.97911191  1449520449.97914100  0.00002909
  54  1449520449.97914505  1449520449.97917390  0.00002885
  55  1449520449.97917795  1449520449.97920704  0.00002909
  56  1449520449.97921109  1449520449.97923994  0.00002885
  57  1449520449.97924399  1449520449.97927308  0.00002909
  58  1449520449.97927690  1449520449.97930598  0.00002909
  59  1449520449.97930908  1449520449.97933793  0.00002885
  60  1449520449.97934198  1449520449.97937107  0.00002909
  61  1449520449.97937489  1449520449.97940302  0.00002813
  62  1449520449.97940803  1449520449.97943807  0.00003004
  63  1449520449.97944188  1449520449.97947097  0.00002909
  64  1449520449.97947502  1449520449.97950411  0.00002909
  65  1449520449.97950697  1449520449.97953606  0.00002909
  66  1449520449.97957611  1449520449.97960901  0.00003290
  67  1449520449.97961307  1449520449.97964191  0.00002885
  68  1449520449.97964597  1449520449.97967505  0.00002909
  69  1449520449.97967792  1449520449.97970700  0.00002909
  70  1449520449.97971106  1449520449.97973990  0.00002885
  71  1449520449.97974396  1449520449.97977400  0.00003004
  72  1449520449.97977805  1449520449.97980809  0.00003004
  73  1449520449.97981191  1449520449.97984195  0.00003004
  74  1449520449.97984600  1449520449.97987604  0.00003004
  75  1449520449.97988009  1449520449.97990894  0.00002885
  76  1449520449.97991300  1449520449.97994208  0.00002909
  77  1449520449.97994590  1449520449.97997499  0.00002909
  78  1449520449.97997904  1449520449.98000789  0.00002885
  79  1449520449.98001194  1449520449.98004103  0.00002909
  80  1449520449.98004389  1449520449.98007393  0.00003004
  81  1449520449.98007703  1449520449.98010612  0.00002909
  82  1449520449.98010898  1449520449.98013997  0.00003099
  83  1449520449.98014307  1449520449.98017311  0.00003004
  84  1449520449.98017597  1449520449.98020601  0.00003004
  85  1449520449.98020911  1449520449.98023796  0.00002885
  86  1449520449.98024201  1449520449.98027110  0.00002909
  87  1449520449.98027492  1449520449.98030400  0.00002909
  88  1449520449.98030806  1449520449.98033690  0.00002885
  89  1449520449.98034096  1449520449.98037004  0.00002909
  90  1449520449.98037291  1449520449.98040199  0.00002909
  91  1449520449.98040605  1449520449.98043489  0.00002885
  92  1449520449.98043895  1449520449.98046803  0.00002909
  93  1449520449.98047209  1449520449.98050094  0.00002885
  94  1449520449.98050499  1449520449.98053288  0.00002789
